nom,twitter,slug
Sylvie Pichot,SylviePichot,sylvie-pichot
Sébastien Pietrasanta,S_PIETRASANTA,sebastien-pietrasanta
Martine Pinville,deputepinville,martine-pinville
Christine Pires Beaune,cpiresbeaune,christine-pires-beaune
Michel Piron,MPironDepute,michel-piron
Philippe Plisson,plisson2012,philippe-plisson
Elisabeth Pochon,ElisabethPochon,elisabeth-pochon
Jean-Frédéric Poisson,jfpoisson78,jean-frederic-poisson
Barbara Pompili,barbarapompili,barbara-pompili
Axel Poniatowski,AxelPoniatowski,axel-poniatowski
Pascal Popelin,pascalpopelin,pascal-popelin
Dominique Potier,PotierDominique,dominique-potier
Michel Pouzol,MichelPouzol,michel-pouzol
Patrice Prat,PatricePrat,patrice-prat
Joaquim Pueyo,JoaquimPueyo,joaquim-pueyo
François Pupponi,fpupponi,francois-pupponi
Jacques Pélissard,pelissard,jacques-pelissard
Valérie Rabault,Valerie_Rabault,valerie-rabault
Monique Rabin,MoniqueRabin,monique-rabin
Dominique Raimbourg,Raimbourg2012,dominique-raimbourg
Marie-Line Reynaud,MLReynaud16,marie-line-reynaud
Franck Reynier,FranckReynier,franck-reynier
Bernard Reynès,bernardreynes,bernard-reynes
Arnaud Richard,ArnaudRichard_,arnaud-richard
Franck Riester,franckriester,franck-riester
Eduardo Rihan Cypel,Rihan_Cypel,eduardo-rihan-cypel
Thierry Robert,trobert974,thierry-robert
Arnaud Robinet,ArnaudRobinet,arnaud-robinet
Camille de Rocca Serra,CdeRoccaSerra,camille-de-rocca-serra
Marcel Rogemont,marcelrogemont,marcel-rogemont
Barbara Romagnan,bromagnan,barbara-romagnan
Bernard Roman,bernardroman59,bernard-roman
Gwendal Rouillard,G_ROUILLARD,gwendal-rouillard
Jean-Louis Roumegas,jlroumegas,jean-louis-roumegas
Alain Rousset,al_rousset,alain-rousset
François de Rugy,FdeRugy,francois-de-rugy
Stéphane Saint-André,AndrSaint,stephane-saint-andre
Rudy Salles,rudysalles,rudy-salles
André Santini,ASantini_UDI,andre-santini
Eva Sas,EvaSasAN,eva-sas
François Sauvadet,sauvadet,francois-sauvadet
Claudine Schmid,Claudine_Schmid,claudine-schmid
Gérard Sebaoun,gerardsebaoun,gerard-sebaoun
Thierry Solère,solere92,thierry-solere
Julie Sommaruga,JulieSOMMARUGA,julie-sommaruga
Éric Straumann,ericstraumann,eric-straumann
Alain Suguenot,A_Suguenot,alain-suguenot
Michèle Tabarot,MTabarot,michele-tabarot
Suzanne Tallard,SuzanneTallard,suzanne-tallard
Lionel Tardy,DeputeTardy,lionel-tardy
Jean-Charles Taugourdeau,JCTaugourdeau,jean-charles-taugourdeau
Guy Teissier,guyteissier,guy-teissier
Pascal Terrasse,pterrasse,pascal-terrasse
Jean-Marie Tetart,JeanMarieTetart,jean-marie-tetart
Thomas Thévenoud,tthevenoud,thomas-thevenoud
Dominique Tian,Dominique_TIAN,dominique-tian
Sylvie Tolmont,SylvieTolmont,sylvie-tolmont
Alain Tourret,AlainTourret,alain-tourret
